"state","value"
11111,1
11112,0.939
11113,0.836
11121,0.89
11122,0.83
11123,0.727
11131,0.763
11132,0.703
11133,0.599
11211,0.897
11212,0.836
11213,0.733
11221,0.787
11222,0.727
11223,0.623
11231,0.66
11232,0.599
11233,0.496
11311,0.814
11312,0.754
11313,0.65
11321,0.705
11322,0.644
11323,0.541
11331,0.577
11332,0.517
11333,0.414
12111,0.897
12112,0.837
12113,0.734
12121,0.788
12122,0.727
12123,0.624
12131,0.661
12132,0.6
12133,0.497
12211,0.794
12212,0.733
12213,0.63
12221,0.684
12222,0.624
12223,0.521
12231,0.557
12232,0.497
12233,0.393
12311,0.712
12312,0.651
12313,0.548
12321,0.602
12322,0.541
12323,0.438
12331,0.475
12332,0.414
12333,0.311
13111,0.809
13112,0.748
13113,0.645
13121,0.7
13122,0.639
13123,0.536
13131,0.572
13132,0.512
13133,0.409
13211,0.706
13212,0.645
13213,0.542
13221,0.596
13222,0.536
13223,0.432
13231,0.469
13232,0.408
13233,0.305
13311,0.623
13312,0.563
13313,0.46
13321,0.514
13322,0.453
13323,0.35
13331,0.387
13332,0.326
13333,0.223
21111,0.875
21112,0.814
21113,0.711
21121,0.766
21122,0.705
21123,0.602
21131,0.638
21132,0.578
21133,0.475
21211,0.772
21212,0.711
21213,0.608
21221,0.662
21222,0.602
21223,0.498
21231,0.535
21232,0.474
21233,0.371
21311,0.689
21312,0.629
21313,0.525
21321,0.58
21322,0.519
21323,0.416
21331,0.453
21332,0.392
21333,0.289
22111,0.772
22112,0.712
22113,0.609
22121,0.663
22122,0.602
22123,0.499
22131,0.536
22132,0.475
22133,0.372
22211,0.669
22212,0.608
22213,0.505
22221,0.56
22222,0.499
22223,0.396
22231,0.432
22232,0.372
22233,0.269
22311,0.587
22312,0.526
22313,0.423
22321,0.477
22322,0.416
22323,0.313
22331,0.35
22332,0.289
22333,0.186
23111,0.684
23112,0.624
23113,0.52
23121,0.575
23122,0.514
23123,0.411
23131,0.447
23132,0.387
23133,0.284
23211,0.581
23212,0.52
23213,0.417
23221,0.471
23222,0.411
23223,0.307
23231,0.344
23232,0.284
23233,0.18
23311,0.498
23312,0.438
23313,0.335
23321,0.389
23322,0.328
23323,0.225
23331,0.262
23332,0.201
23333,0.098
31111,0.771
31112,0.711
31113,0.608
31121,0.662
31122,0.601
31123,0.498
31131,0.535
31132,0.474
31133,0.371
31211,0.668
31212,0.607
31213,0.504
31221,0.558
31222,0.498
31223,0.395
31231,0.431
31232,0.371
31233,0.267
31311,0.586
31312,0.525
31313,0.422
31321,0.476
31322,0.415
31323,0.312
31331,0.349
31332,0.288
31333,0.185
32111,0.669
32112,0.608
32113,0.505
32121,0.559
32122,0.499
32123,0.395
32131,0.432
32132,0.371
32133,0.268
32211,0.565
32212,0.505
32213,0.402
32221,0.456
32222,0.395
32223,0.292
32231,0.329
32232,0.268
32233,0.165
32311,0.483
32312,0.422
32313,0.319
32321,0.373
32322,0.313
32323,0.21
32331,0.246
32332,0.186
32333,0.082
33111,0.58
33112,0.52
33113,0.417
33121,0.471
33122,0.41
33123,0.307
33131,0.344
33132,0.283
33133,0.18
33211,0.477
33212,0.416
33213,0.313
33221,0.368
33222,0.307
33223,0.204
33231,0.24
33232,0.18
33233,0.077
33311,0.395
33312,0.334
33313,0.231
33321,0.285
33322,0.225
33323,0.121
33331,0.158
33332,0.097
33333,-0.006
