"state","value"
11111,1
11112,0.927
11113,0.658
11121,0.91
11122,0.849
11123,0.58
11131,0.563
11132,0.502
11133,0.391
11211,0.942
11212,0.881
11213,0.612
11221,0.864
11222,0.803
11223,0.534
11231,0.517
11232,0.456
11233,0.345
11311,0.66
11312,0.599
11313,0.488
11321,0.582
11322,0.521
11323,0.41
11331,0.393
11332,0.332
11333,0.221
12111,0.977
12112,0.916
12113,0.647
12121,0.899
12122,0.838
12123,0.569
12131,0.552
12132,0.491
12133,0.38
12211,0.931
12212,0.87
12213,0.601
12221,0.853
12222,0.792
12223,0.523
12231,0.506
12232,0.445
12233,0.334
12311,0.649
12312,0.588
12313,0.477
12321,0.571
12322,0.51
12323,0.399
12331,0.382
12332,0.321
12333,0.21
13111,0.703
13112,0.642
13113,0.531
13121,0.625
13122,0.564
13123,0.453
13131,0.436
13132,0.375
13133,0.264
13211,0.657
13212,0.596
13213,0.485
13221,0.579
13222,0.518
13223,0.407
13231,0.39
13232,0.329
13233,0.218
13311,0.533
13312,0.472
13313,0.361
13321,0.455
13322,0.394
13323,0.283
13331,0.266
13332,0.205
13333,0.094
21111,0.938
21112,0.877
21113,0.608
21121,0.86
21122,0.799
21123,0.53
21131,0.513
21132,0.452
21133,0.341
21211,0.892
21212,0.831
21213,0.562
21221,0.814
21222,0.753
21223,0.484
21231,0.467
21232,0.406
21233,0.295
21311,0.61
21312,0.549
21313,0.438
21321,0.532
21322,0.471
21323,0.36
21331,0.343
21332,0.282
21333,0.171
22111,0.927
22112,0.866
22113,0.597
22121,0.849
22122,0.788
22123,0.519
22131,0.502
22132,0.441
22133,0.33
22211,0.881
22212,0.82
22213,0.551
22221,0.803
22222,0.742
22223,0.473
22231,0.456
22232,0.395
22233,0.284
22311,0.599
22312,0.538
22313,0.427
22321,0.521
22322,0.46
22323,0.349
22331,0.332
22332,0.271
22333,0.16
23111,0.653
23112,0.592
23113,0.481
23121,0.575
23122,0.514
23123,0.403
23131,0.386
23132,0.325
23133,0.214
23211,0.607
23212,0.546
23213,0.435
23221,0.529
23222,0.468
23223,0.357
23231,0.34
23232,0.279
23233,0.168
23311,0.483
23312,0.422
23313,0.311
23321,0.405
23322,0.344
23323,0.233
23331,0.216
23332,0.155
23333,0.044
31111,0.647
31112,0.586
31113,0.475
31121,0.569
31122,0.508
31123,0.397
31131,0.38
31132,0.319
31133,0.208
31211,0.601
31212,0.54
31213,0.429
31221,0.523
31222,0.462
31223,0.351
31231,0.334
31232,0.273
31233,0.162
31311,0.477
31312,0.416
31313,0.305
31321,0.399
31322,0.338
31323,0.227
31331,0.21
31332,0.149
31333,0.038
32111,0.636
32112,0.575
32113,0.464
32121,0.558
32122,0.497
32123,0.386
32131,0.369
32132,0.308
32133,0.197
32211,0.59
32212,0.529
32213,0.418
32221,0.512
32222,0.451
32223,0.34
32231,0.323
32232,0.262
32233,0.151
32311,0.466
32312,0.405
32313,0.294
32321,0.388
32322,0.327
32323,0.216
32331,0.199
32332,0.138
32333,0.0270000000000001
33111,0.52
33112,0.459
33113,0.348
33121,0.442
33122,0.381
33123,0.27
33131,0.253
33132,0.192
33133,0.0810000000000001
33211,0.474
33212,0.413
33213,0.302
33221,0.396
33222,0.335
33223,0.224
33231,0.207
33232,0.146
33233,0.0350000000000001
33311,0.35
33312,0.289
33313,0.178
33321,0.272
33322,0.211
33323,0.1
33331,0.083
33332,0.0219999999999999
33333,-0.089
