"state","value"
11111,1
11112,0.874599993
11113,0.598100007
11121,0.866299987
11122,0.74089998
11123,0.464399993
11131,0.58099997
11132,0.455599964
11133,0.179099977
11211,0.916299999
11212,0.790899992
11213,0.514400005
11221,0.782599986
11222,0.657199979
11223,0.380699992
11231,0.497299999
11232,0.371899992
11233,0.095399998
11311,0.800700009
11312,0.675300002
11313,0.398800015
11321,0.666999996
11322,0.541599989
11323,0.265100002
11331,0.381700009
11332,0.256300002
11333,-0.020199992
12111,0.98089999
12112,0.855499983
12113,0.578999996
12121,0.847199976
12122,0.72179997
12123,0.445299983
12131,0.56189996
12132,0.436499953
12133,0.159999967
12211,0.897199988
12212,0.771799982
12213,0.495299995
12221,0.763499975
12222,0.638099968
12223,0.361599982
12231,0.478199989
12232,0.352799982
12233,0.076299988
12311,0.781599998
12312,0.656199992
12313,0.379700005
12321,0.647899985
12322,0.522499979
12323,0.245999992
12331,0.362599999
12332,0.237199992
12333,-0.039300002
13111,0.855000019
13112,0.729600012
13113,0.453100026
13121,0.721300006
13122,0.595899999
13123,0.319400012
13131,0.436000019
13132,0.310600013
13133,0.034100018
13211,0.771300018
13212,0.645900011
13213,0.369400024
13221,0.637600005
13222,0.512199998
13223,0.235700011
13231,0.352300018
13232,0.226900011
13233,-0.049599983
13311,0.655700028
13312,0.530300021
13313,0.253800035
13321,0.522000015
13322,0.396600008
13323,0.120100014
13331,0.236700028
13332,0.111300029
13333,-0.165199965
21111,0.975799978
21112,0.850399971
21113,0.573899984
21121,0.842099965
21122,0.716699958
21123,0.440199971
21131,0.556799948
21132,0.431399941
21133,0.154899955
21211,0.892099977
21212,0.76669997
21213,0.490199983
21221,0.758399963
21222,0.632999957
21223,0.35649997
21231,0.473099977
21232,0.34769997
21233,0.071199976
21311,0.776499987
21312,0.65109998
21313,0.374599993
21321,0.642799973
21322,0.517399967
21323,0.24089998
21331,0.357499987
21332,0.23209998
21333,-0.044400014
22111,0.956699967
22112,0.831299961
22113,0.554799974
22121,0.822999954
22122,0.697599947
22123,0.421099961
22131,0.537699938
22132,0.412299931
22133,0.135799944
22211,0.872999966
22212,0.747599959
22213,0.471099973
22221,0.739299953
22222,0.613899946
22223,0.33739996
22231,0.453999966
22232,0.32859996
22233,0.052099966
22311,0.757399976
22312,0.631999969
22313,0.355499983
22321,0.623699963
22322,0.498299956
22323,0.22179997
22331,0.338399976
22332,0.21299997
22333,-0.063500024
23111,0.830799997
23112,0.70539999
23113,0.428900003
23121,0.697099984
23122,0.571699977
23123,0.29519999
23131,0.411799997
23132,0.28639999
23133,0.009899997
23211,0.747099996
23212,0.621699989
23213,0.345200002
23221,0.613399982
23222,0.487999976
23223,0.211499989
23231,0.328099996
23232,0.202699989
23233,-0.073800005
23311,0.631500006
23312,0.506099999
23313,0.229600012
23321,0.497799993
23322,0.372399986
23323,0.095899992
23331,0.212500006
23332,0.087100007
23333,-0.189399987
31111,0.882499993
31112,0.757099986
31113,0.480599999
31121,0.74879998
31122,0.623399973
31123,0.346899986
31131,0.463499993
31132,0.338099986
31133,0.061599992
31211,0.798799992
31212,0.673399985
31213,0.396899998
31221,0.665099978
31222,0.539699972
31223,0.263199985
31231,0.379799992
31232,0.254399985
31233,-0.022100009
31311,0.683200002
31312,0.557799995
31313,0.281300008
31321,0.549499989
31322,0.424099982
31323,0.147599995
31331,0.264200002
31332,0.138799995
31333,-0.137699991
32111,0.863399982
32112,0.737999976
32113,0.461499989
32121,0.729699969
32122,0.604299963
32123,0.327799976
32131,0.444399983
32132,0.318999976
32133,0.042499982
32211,0.779699981
32212,0.654299974
32213,0.377799988
32221,0.645999968
32222,0.520599961
32223,0.244099975
32231,0.360699981
32232,0.235299975
32233,-0.041200019
32311,0.664099991
32312,0.538699985
32313,0.262199998
32321,0.530399978
32322,0.404999971
32323,0.128499985
32331,0.245099992
32332,0.119699992
32333,-0.156800002
33111,0.737500012
33112,0.612100005
33113,0.335600019
33121,0.603799999
33122,0.478399992
33123,0.201900005
33131,0.318500012
33132,0.193100005
33133,-0.083399989
33211,0.653800011
33212,0.528400004
33213,0.251900017
33221,0.520099998
33222,0.394699991
33223,0.118199997
33231,0.234800011
33232,0.109400012
33233,-0.167099983
33311,0.538200021
33312,0.412800014
33313,0.136300027
33321,0.404500008
33322,0.279100001
33323,0.002600008
33331,0.119200021
33332,-0.006199979
33333,-0.282699972
