"state","value"
11111,1
11112,0.885599971
11113,0.671500027
11121,0.828100026
11122,0.713699996
11123,0.499600023
11131,0.535300016
11132,0.420900017
11133,0.206800014
11211,0.899800003
11212,0.785399973
11213,0.57130003
11221,0.727900028
11222,0.613499999
11223,0.399400026
11231,0.435099989
11232,0.32069999
11233,0.106599987
11311,0.739099979
11312,0.62469995
11313,0.410599977
11321,0.567200005
11322,0.452800006
11323,0.238700002
11331,0.274399966
11332,0.159999967
11333,-0.054100033
12111,0.948700011
12112,0.834299982
12113,0.620200038
12121,0.776800036
12122,0.662400007
12123,0.448300034
12131,0.483999997
12132,0.369599998
12133,0.155499995
12211,0.848500013
12212,0.734099984
12213,0.520000041
12221,0.676600039
12222,0.56220001
12223,0.348100036
12231,0.3838
12232,0.269400001
12233,0.055300001
12311,0.68779999
12312,0.573399961
12313,0.359299988
12321,0.515900016
12322,0.401500016
12323,0.187400013
12331,0.223099992
12332,0.108699992
12333,-0.105400011
13111,0.804099977
13112,0.689699948
13113,0.475599974
13121,0.632200003
13122,0.517799973
13123,0.3037
13131,0.339399964
13132,0.224999964
13133,0.010899964
13211,0.70389998
13212,0.58949995
13213,0.375399977
13221,0.532000005
13222,0.417600006
13223,0.203500003
13231,0.239199981
13232,0.124799982
13233,-0.089300022
13311,0.543199956
13312,0.428799957
13313,0.214699954
13321,0.371299952
13322,0.256899953
13323,0.042799953
13331,0.078499958
13332,-0.035900041
13333,-0.25000003
21111,0.896000028
21112,0.781599998
21113,0.567500055
21121,0.724100053
21122,0.609700024
21123,0.395600051
21131,0.431300014
21132,0.316900015
21133,0.102800012
21211,0.79580003
21212,0.681400001
21213,0.467300028
21221,0.623900056
21222,0.509500027
21223,0.295400053
21231,0.331100017
21232,0.216700017
21233,0.002600017
21311,0.635100007
21312,0.520699978
21313,0.306600004
21321,0.463200003
21322,0.348800004
21323,0.1347
21331,0.170400009
21332,0.056000009
21333,-0.158099994
22111,0.844700038
22112,0.730300009
22113,0.516200066
22121,0.672800064
22122,0.558400035
22123,0.344300061
22131,0.380000025
22132,0.265600026
22133,0.051500026
22211,0.744500041
22212,0.630100012
22213,0.416000038
22221,0.572600067
22222,0.458200067
22223,0.244100064
22231,0.279800028
22232,0.165400028
22233,-0.048699971
22311,0.583800018
22312,0.469400018
22313,0.255300015
22321,0.411900014
22322,0.297500014
22323,0.083400011
22331,0.119100019
22332,0.004700019
22333,-0.209399983
23111,0.700100005
23112,0.585699975
23113,0.371600002
23121,0.52820003
23122,0.413800031
23123,0.199700028
23131,0.235400006
23132,0.121000007
23133,-0.093099996
23211,0.599900007
23212,0.485500008
23213,0.271400005
23221,0.428000003
23222,0.313600004
23223,0.0995
23231,0.135200009
23232,0.020800009
23233,-0.193299994
23311,0.439200014
23312,0.324800014
23313,0.110700011
23321,0.26730001
23322,0.15290001
23323,-0.061199989
23331,-0.025499986
23332,-0.139899984
23333,-0.353999972
31111,0.710799992
31112,0.596399963
31113,0.382299989
31121,0.538900018
31122,0.424500018
31123,0.210400015
31131,0.246099994
31132,0.131699994
31133,-0.082400009
31211,0.610599995
31212,0.496199995
31213,0.282099992
31221,0.438699991
31222,0.324299991
31223,0.110199988
31231,0.145899996
31232,0.031499997
31233,-0.182600006
31311,0.449900001
31312,0.335500002
31313,0.121399999
31321,0.277999997
31322,0.163599998
31323,-0.050500002
31331,-0.014799999
31332,-0.129199997
31333,-0.343299985
32111,0.659500003
32112,0.545099974
32113,0.331
32121,0.487599999
32122,0.373199999
32123,0.159099996
32131,0.194800004
32132,0.080400005
32133,-0.133699998
32211,0.559300005
32212,0.444900006
32213,0.230800003
32221,0.387400001
32222,0.273000002
32223,0.058900002
32231,0.094600007
32232,-0.019799992
32233,-0.233899996
32311,0.398600012
32312,0.284200013
32313,0.070100009
32321,0.226700008
32322,0.112300009
32323,-0.101799995
32331,-0.066099986
32332,-0.180499986
32333,-0.394599974
33111,0.514899969
33112,0.40049997
33113,0.186399966
33121,0.342999965
33122,0.228599966
33123,0.014499965
33131,0.050199971
33132,-0.064200029
33133,-0.278300017
33211,0.414699972
33212,0.300299972
33213,0.086199969
33221,0.242799968
33222,0.128399968
33223,-0.085700035
33231,-0.050000027
33232,-0.164400026
33233,-0.378500015
33311,0.253999978
33312,0.139599979
33313,-0.074500024
33321,0.082099982
33322,-0.032300018
33323,-0.246400014
33331,-0.21070002
33332,-0.325100034
33333,-0.539200008
