"state","value"
11111,1
11112,0.917
11113,0.694
11121,0.867
11122,0.784
11123,0.561
11131,0.519
11132,0.436
11133,0.213
11211,0.922
11212,0.839
11213,0.616
11221,0.789
11222,0.706
11223,0.483
11231,0.441
11232,0.358
11233,0.135
11311,0.748
11312,0.665
11313,0.442
11321,0.615
11322,0.532
11323,0.309
11331,0.267
11332,0.184
11333,-0.039
12111,0.962
12112,0.879
12113,0.656
12121,0.829
12122,0.746
12123,0.523
12131,0.481
12132,0.398
12133,0.175
12211,0.884
12212,0.801
12213,0.578
12221,0.751
12222,0.668
12223,0.445
12231,0.403
12232,0.32
12233,0.097
12311,0.71
12312,0.627
12313,0.404
12321,0.577
12322,0.494
12323,0.271
12331,0.229
12332,0.146
12333,-0.077
13111,0.811
13112,0.728
13113,0.505
13121,0.678
13122,0.595
13123,0.372
13131,0.33
13132,0.247
13133,0.024
13211,0.733
13212,0.65
13213,0.427
13221,0.6
13222,0.517
13223,0.294
13231,0.252
13232,0.169
13233,-0.054
13311,0.559
13312,0.476
13313,0.253
13321,0.426
13322,0.343
13323,0.12
13331,0.078
13332,-0.005
13333,-0.228
21111,0.946
21112,0.863
21113,0.64
21121,0.813
21122,0.73
21123,0.507
21131,0.465
21132,0.382
21133,0.159
21211,0.868
21212,0.785
21213,0.562
21221,0.735
21222,0.652
21223,0.429
21231,0.387
21232,0.304
21233,0.081
21311,0.694
21312,0.611
21313,0.388
21321,0.561
21322,0.478
21323,0.255
21331,0.213
21332,0.13
21333,-0.093
22111,0.908
22112,0.825
22113,0.602
22121,0.775
22122,0.692
22123,0.469
22131,0.427
22132,0.344
22133,0.121
22211,0.83
22212,0.747
22213,0.524
22221,0.697
22222,0.614
22223,0.391
22231,0.349
22232,0.266
22233,0.043
22311,0.656
22312,0.573
22313,0.35
22321,0.523
22322,0.44
22323,0.217
22331,0.175
22332,0.092
22333,-0.131
23111,0.757
23112,0.674
23113,0.451
23121,0.624
23122,0.541
23123,0.318
23131,0.276
23132,0.193
23133,-0.03
23211,0.679
23212,0.596
23213,0.373
23221,0.546
23222,0.463
23223,0.24
23231,0.198
23232,0.115
23233,-0.108
23311,0.505
23312,0.422
23313,0.199
23321,0.372
23322,0.289
23323,0.066
23331,0.024
23332,-0.059
23333,-0.282
31111,0.743
31112,0.66
31113,0.437
31121,0.61
31122,0.527
31123,0.304
31131,0.262
31132,0.179
31133,-0.044
31211,0.665
31212,0.582
31213,0.359
31221,0.532
31222,0.449
31223,0.226
31231,0.184
31232,0.101
31233,-0.122
31311,0.491
31312,0.408
31313,0.185
31321,0.358
31322,0.275
31323,0.052
31331,0.01
31332,-0.073
31333,-0.296
32111,0.705
32112,0.622
32113,0.399
32121,0.572
32122,0.489
32123,0.266
32131,0.224
32132,0.141
32133,-0.082
32211,0.627
32212,0.544
32213,0.321
32221,0.494
32222,0.411
32223,0.188
32231,0.146
32232,0.063
32233,-0.16
32311,0.453
32312,0.37
32313,0.147
32321,0.32
32322,0.237
32323,0.014
32331,-0.028
32332,-0.111
32333,-0.334
33111,0.554
33112,0.471
33113,0.248
33121,0.421
33122,0.338
33123,0.115
33131,0.073
33132,-0.01
33133,-0.233
33211,0.476
33212,0.393
33213,0.17
33221,0.343
33222,0.26
33223,0.037
33231,-0.005
33232,-0.088
33233,-0.311
33311,0.302
33312,0.219
33313,-0.004
33321,0.169
33322,0.086
33323,-0.137
33331,-0.179
33332,-0.262
33333,-0.485
