"state","value"
11111,1
11112,0.925999999
11113,0.819000006
11121,0.898000002
11122,0.848999977
11123,0.741999984
11131,0.705000043
11132,0.656000018
11133,0.549000025
11211,0.937000036
11212,0.888000011
11213,0.781000018
11221,0.860000014
11222,0.81099999
11223,0.703999996
11231,0.667000055
11232,0.618000031
11233,0.511000037
11311,0.874000013
11312,0.824999988
11313,0.717999995
11321,0.796999991
11322,0.747999966
11323,0.640999973
11331,0.604000032
11332,0.555000007
11333,0.448000014
12111,0.957000017
12112,0.907999992
12113,0.800999999
12121,0.879999995
12122,0.83099997
12123,0.723999977
12131,0.687000036
12132,0.638000011
12133,0.531000018
12211,0.91900003
12212,0.870000005
12213,0.763000011
12221,0.842000008
12222,0.792999983
12223,0.68599999
12231,0.649000049
12232,0.600000024
12233,0.493000001
12311,0.856000006
12312,0.806999981
12313,0.699999988
12321,0.778999984
12322,0.729999959
12323,0.622999966
12331,0.586000025
12332,0.537
12333,0.430000007
13111,0.905000031
13112,0.856000006
13113,0.749000013
13121,0.828000009
13122,0.778999984
13123,0.671999991
13131,0.63500005
13132,0.586000025
13133,0.479000002
13211,0.867000043
13212,0.818000019
13213,0.711000025
13221,0.790000021
13222,0.740999997
13223,0.634000003
13231,0.597000062
13232,0.548000038
13233,0.441000044
13311,0.80400002
13312,0.754999995
13313,0.648000002
13321,0.726999998
13322,0.677999973
13323,0.57099998
13331,0.534000039
13332,0.484999985
13333,0.378000021
21111,0.935000002
21112,0.885999978
21113,0.778999984
21121,0.85799998
21122,0.808999956
21123,0.701999962
21131,0.665000021
21132,0.615999997
21133,0.509000003
21211,0.897000015
21212,0.84799999
21213,0.740999997
21221,0.819999993
21222,0.770999968
21223,0.663999975
21231,0.627000034
21232,0.578000009
21233,0.471000016
21311,0.833999991
21312,0.784999967
21313,0.677999973
21321,0.756999969
21322,0.707999945
21323,0.600999951
21331,0.56400001
21332,0.514999986
21333,0.407999992
22111,0.916999996
22112,0.867999971
22113,0.760999978
22121,0.839999974
22122,0.790999949
22123,0.683999956
22131,0.647000015
22132,0.59799999
22133,0.490999967
22211,0.879000008
22212,0.829999983
22213,0.72299999
22221,0.801999986
22222,0.752999961
22223,0.645999968
22231,0.609000027
22232,0.560000002
22233,0.453000009
22311,0.815999985
22312,0.76699996
22313,0.659999967
22321,0.738999963
22322,0.689999938
22323,0.582999945
22331,0.546000004
22332,0.496999949
22333,0.389999986
23111,0.86500001
23112,0.815999985
23113,0.708999991
23121,0.787999988
23122,0.738999963
23123,0.631999969
23131,0.595000029
23132,0.546000004
23133,0.43900001
23211,0.827000022
23212,0.777999997
23213,0.671000004
23221,0.75
23222,0.700999975
23223,0.593999982
23231,0.557000041
23232,0.508000016
23233,0.401000023
23311,0.763999999
23312,0.714999974
23313,0.60799998
23321,0.686999977
23322,0.637999952
23323,0.530999959
23331,0.493999988
23332,0.444999993
23333,0.338
31111,0.886000037
31112,0.837000012
31113,0.730000019
31121,0.809000015
31122,0.75999999
31123,0.652999997
31131,0.616000056
31132,0.567000031
31133,0.460000038
31211,0.84800005
31212,0.799000025
31213,0.692000031
31221,0.771000028
31222,0.722000003
31223,0.61500001
31231,0.578000069
31232,0.529000044
31233,0.422000051
31311,0.785000026
31312,0.736000001
31313,0.629000008
31321,0.708000004
31322,0.658999979
31323,0.551999986
31331,0.515000045
31332,0.466000021
31333,0.359000027
32111,0.868000031
32112,0.819000006
32113,0.712000012
32121,0.791000009
32122,0.741999984
32123,0.63499999
32131,0.59800005
32132,0.549000025
32133,0.442000031
32211,0.830000043
32212,0.781000018
32213,0.674000025
32221,0.753000021
32222,0.703999996
32223,0.597000003
32231,0.560000062
32232,0.511000037
32233,0.404000044
32311,0.76700002
32312,0.717999995
32313,0.611000001
32321,0.689999998
32322,0.640999973
32323,0.533999979
32331,0.497000009
32332,0.448000014
32333,0.341000021
33111,0.816000044
33112,0.76700002
33113,0.660000026
33121,0.739000022
33122,0.689999998
33123,0.583000004
33131,0.546000063
33132,0.497000009
33133,0.390000045
33211,0.778000057
33212,0.729000032
33213,0.622000039
33221,0.701000035
33222,0.65200001
33223,0.545000017
33231,0.508000076
33232,0.459000051
33233,0.352000058
33311,0.715000033
33312,0.666000009
33313,0.559000015
33321,0.638000011
33322,0.588999987
33323,0.481999964
33331,0.444999993
33332,0.395999998
33333,0.289000005
