"state","value"
11111,1
11112,0.904
11113,0.686
11121,0.889
11122,0.793
11123,0.575
11131,0.637
11132,0.541
11133,0.323
11211,0.942
11212,0.846
11213,0.628
11221,0.831
11222,0.735
11223,0.517
11231,0.579
11232,0.483
11233,0.265
11311,0.789
11312,0.693
11313,0.475
11321,0.678
11322,0.582
11323,0.364
11331,0.426
11332,0.33
11333,0.112
12111,0.972
12112,0.876
12113,0.658
12121,0.861
12122,0.765
12123,0.547
12131,0.609
12132,0.513
12133,0.295
12211,0.914
12212,0.818
12213,0.6
12221,0.803
12222,0.707
12223,0.489
12231,0.551
12232,0.455
12233,0.237
12311,0.761
12312,0.665
12313,0.447
12321,0.65
12322,0.554
12323,0.336
12331,0.398
12332,0.302
12333,0.0840000000000001
13111,0.861
13112,0.765
13113,0.547
13121,0.75
13122,0.654
13123,0.436
13131,0.498
13132,0.402
13133,0.184
13211,0.803
13212,0.707
13213,0.489
13221,0.692
13222,0.596
13223,0.378
13231,0.44
13232,0.344
13233,0.126
13311,0.65
13312,0.554
13313,0.336
13321,0.539
13322,0.443
13323,0.225
13331,0.287
13332,0.191
13333,-0.0269999999999999
21111,0.964
21112,0.868
21113,0.65
21121,0.853
21122,0.757
21123,0.539
21131,0.601
21132,0.505
21133,0.287
21211,0.906
21212,0.81
21213,0.592
21221,0.795
21222,0.699
21223,0.481
21231,0.543
21232,0.447
21233,0.229
21311,0.753
21312,0.657
21313,0.439
21321,0.642
21322,0.546
21323,0.328
21331,0.39
21332,0.294
21333,0.0760000000000001
22111,0.936
22112,0.84
22113,0.622
22121,0.825
22122,0.729
22123,0.511
22131,0.573
22132,0.477
22133,0.259
22211,0.878
22212,0.782
22213,0.564
22221,0.767
22222,0.671
22223,0.453
22231,0.515
22232,0.419
22233,0.201
22311,0.725
22312,0.629
22313,0.411
22321,0.614
22322,0.518
22323,0.3
22331,0.362
22332,0.266
22333,0.048
23111,0.825
23112,0.729
23113,0.511
23121,0.714
23122,0.618
23123,0.4
23131,0.462
23132,0.366
23133,0.148
23211,0.767
23212,0.671
23213,0.453
23221,0.656
23222,0.56
23223,0.342
23231,0.404
23232,0.308
23233,0.0900000000000001
23311,0.614
23312,0.518
23313,0.3
23321,0.503
23322,0.407
23323,0.189
23331,0.251
23332,0.155
23333,-0.0629999999999999
31111,0.809
31112,0.713
31113,0.495
31121,0.698
31122,0.602
31123,0.384
31131,0.446
31132,0.35
31133,0.132
31211,0.751
31212,0.655
31213,0.437
31221,0.64
31222,0.544
31223,0.326
31231,0.388
31232,0.292
31233,0.0740000000000001
31311,0.598
31312,0.502
31313,0.284
31321,0.487
31322,0.391
31323,0.173
31331,0.235
31332,0.139
31333,-0.079
32111,0.781
32112,0.685
32113,0.467
32121,0.67
32122,0.574
32123,0.356
32131,0.418
32132,0.322
32133,0.104
32211,0.723
32212,0.627
32213,0.409
32221,0.612
32222,0.516
32223,0.298
32231,0.36
32232,0.264
32233,0.046
32311,0.57
32312,0.474
32313,0.256
32321,0.459
32322,0.363
32323,0.145
32331,0.207
32332,0.111
32333,-0.107
33111,0.67
33112,0.574
33113,0.356
33121,0.559
33122,0.463
33123,0.245
33131,0.307
33132,0.211
33133,-0.00700000000000012
33211,0.612
33212,0.516
33213,0.298
33221,0.501
33222,0.405
33223,0.187
33231,0.249
33232,0.153
33233,-0.0649999999999999
33311,0.459
33312,0.363
33313,0.145
33321,0.348
33322,0.252
33323,0.034
33331,0.096
33332,0
33333,-0.218
