"state","value"
11111,1
11112,0.883000016
11113,0.620000005
11121,0.838
11122,0.721000016
11123,0.458000004
11131,0.537
11132,0.419999987
11133,0.157000005
11211,0.893999994
11212,0.77700001
11213,0.513999999
11221,0.731999993
11222,0.61500001
11223,0.351999998
11231,0.430999994
11232,0.313999981
11233,0.050999995
11311,0.677999973
11312,0.56099999
11313,0.297999978
11321,0.515999973
11322,0.398999959
11323,0.135999978
11331,0.214999974
11332,0.097999975
11333,-0.165000021
12111,0.953999996
12112,0.837000012
12113,0.574000001
12121,0.791999996
12122,0.675000012
12123,0.412
12131,0.490999997
12132,0.373999983
12133,0.110999994
12211,0.84799999
12212,0.731000006
12213,0.467999995
12221,0.68599999
12222,0.569000006
12223,0.305999994
12231,0.38499999
12232,0.267999977
12233,0.004999991
12311,0.631999969
12312,0.514999986
12313,0.251999974
12321,0.469999969
12322,0.352999955
12323,0.089999966
12331,0.16899997
12332,0.051999971
12333,-0.211000025
13111,0.778999984
13112,0.662
13113,0.398999989
13121,0.616999984
13122,0.49999997
13123,0.236999989
13131,0.315999985
13132,0.198999986
13133,-0.064000018
13211,0.672999978
13212,0.555999994
13213,0.292999983
13221,0.510999978
13222,0.393999964
13223,0.130999982
13231,0.209999979
13232,0.09299998
13233,-0.170000017
13311,0.456999987
13312,0.339999974
13313,0.076999985
13321,0.294999987
13322,0.177999988
13323,-0.085000016
13331,-0.006000013
13332,-0.123000011
13333,-0.386000007
21111,0.916999996
21112,0.800000012
21113,0.537
21121,0.754999995
21122,0.638000011
21123,0.375
21131,0.453999996
21132,0.336999983
21133,0.073999994
21211,0.81099999
21212,0.694000006
21213,0.430999994
21221,0.648999989
21222,0.532000005
21223,0.268999994
21231,0.34799999
21232,0.230999991
21233,-0.032000009
21311,0.594999969
21312,0.477999955
21313,0.214999974
21321,0.432999969
21322,0.315999955
21323,0.05299997
21331,0.131999969
21332,0.01499997
21333,-0.248000026
22111,0.870999992
22112,0.754000008
22113,0.490999997
22121,0.708999991
22122,0.592000008
22123,0.328999996
22131,0.407999992
22132,0.290999979
22133,0.027999992
22211,0.764999986
22212,0.648000002
22213,0.38499999
22221,0.602999985
22222,0.485999972
22223,0.22299999
22231,0.301999986
22232,0.184999987
22233,-0.078000017
22311,0.548999965
22312,0.431999952
22313,0.16899997
22321,0.386999965
22322,0.269999951
22323,0.006999965
22331,0.085999966
22332,-0.031000035
22333,-0.29400003
23111,0.69599998
23112,0.578999996
23113,0.315999985
23121,0.533999979
23122,0.416999966
23123,0.153999984
23131,0.23299998
23132,0.115999982
23133,-0.147000015
23211,0.589999974
23212,0.47299996
23213,0.209999979
23221,0.427999973
23222,0.31099996
23223,0.047999974
23231,0.126999974
23232,0.009999975
23233,-0.253000021
23311,0.373999983
23312,0.256999969
23313,-0.006000017
23321,0.211999983
23322,0.094999984
23323,-0.168000013
23331,-0.089000016
23332,-0.206000015
23333,-0.469000012
31111,0.694999993
31112,0.578000009
31113,0.314999998
31121,0.532999992
31122,0.415999979
31123,0.152999997
31131,0.231999993
31132,0.114999995
31133,-0.148000002
31211,0.588999987
31212,0.471999973
31213,0.208999991
31221,0.426999986
31222,0.309999973
31223,0.046999987
31231,0.125999987
31232,0.008999988
31233,-0.254000008
31311,0.372999996
31312,0.255999982
31313,-0.007000004
31321,0.210999995
31322,0.093999997
31323,-0.169
31331,-0.090000004
31332,-0.207000002
31333,-0.469999999
32111,0.648999989
32112,0.532000005
32113,0.268999994
32121,0.486999989
32122,0.369999975
32123,0.106999986
32131,0.18599999
32132,0.068999991
32133,-0.194000006
32211,0.542999983
32212,0.425999969
32213,0.162999988
32221,0.380999982
32222,0.263999969
32223,0.000999982
32231,0.079999983
32232,-0.037000015
32233,-0.300000012
32311,0.326999992
32312,0.209999993
32313,-0.053000007
32321,0.164999992
32322,0.047999993
32323,-0.215000004
32331,-0.136000007
32332,-0.253000021
32333,-0.516000032
33111,0.474000007
33112,0.356999993
33113,0.094000004
33121,0.312000006
33122,0.195000008
33123,-0.067999996
33131,0.011000006
33132,-0.105999991
33133,-0.368999988
33211,0.368000001
33212,0.250999987
33213,-0.011999999
33221,0.206
33222,0.089000002
33223,-0.173999995
33231,-0.094999999
33232,-0.211999997
33233,-0.474999994
33311,0.15200001
33312,0.035000011
33313,-0.227999985
33321,-0.00999999
33322,-0.126999989
33323,-0.389999986
33331,-0.31099999
33332,-0.428000003
33333,-0.690999985
