Version,Name,Name_short,Country_code,VS_code,doi,citation
Y3L,Belgium,Belgium,BE,BE,10.1007/s40273-022-01187-x,"Dewilde S, Roudijk B, Tollenaar NH, Ramos-Go<U+00F1>i JM. An EQ-5D-Y-3L Value Set for Belgium. PharmacoEconomics. 2022;40(S2):169-180. doi:10.1007/s40273-022-01187-x"
Y3L,Brazil,Brazil,BR,BR,10.1007/s40273-024-01404-9,"Espirito Santo CM, Miyamoto GC, Santos VS, Ben <U+00C2>J, Finch AP, Roudijk B, de Jesus-Moraleida FR, Stein AT, Santos M, Yamato TP. Estimating an EQ-5D-Y-3L Value Set for Brazil. PharmacoEconomics. 2024;42(9):1047-1063. doi:10.1007/s40273-024-01404-9"
Y3L,China,China,CN,CN,10.1007/s40273-022-01216-9,"Yang Z, Jiang J, Wang P, Jin X, Wu J, Fang Y, Feng D, Xi X, Li S, Jing M, Zheng B, Huang W, Luo N. Estimating an EQ-5D-Y-3L Value Set for China. PharmacoEconomics. 2022;40(S2):147-155. doi:10.1007/s40273-022-01216-9"
Y3L,Germany,Germany,DE,DE,10.1007/s40273-022-01143-9,"Kreimeier S, Mott D, Ludwig K, Greiner W,  , Prevolnik Rupel V, Ramos-Go<U+00F1>i JM. EQ-5D-Y Value Set for Germany. PharmacoEconomics. 2022;40(S2):217-229. doi:10.1007/s40273-022-01143-9"
Y3L,Spain,Spain,ES,ES,10.1016/j.jval.2021.10.013,"Ramos-Go<U+00F1>i JM, Oppe M, Est<U+00E9>vez-Carrillo A, Rivero-Arias O, Wolfgang G, Simone K, Kristina L, Valentina R. Accounting for Unobservable Preference Heterogeneity and Evaluating Alternative Anchoring Approaches to Estimate Country-Specific EQ-5D-Y Value Sets: A Case Study Using Spanish Preference Data. Value in Health. 2022;25(5):835-843. doi:10.1016/j.jval.2021.10.013"
Y3L,Hungary,Hungary,HU,HU,10.1007/s40273-022-01190-2,"Rencz F, Ruzsa G, Bat<U+00F3> A, Yang Z, Finch AP, Brodszky V. Value Set for the EQ-5D-Y-3L in Hungary. PharmacoEconomics. 2022;40(S2):205-215. doi:10.1007/s40273-022-01190-2"
Y3L,Indonesia,Indonesia,ID,ID,10.1007/s40273-022-01210-1,"Fitriana TS, Roudijk B, Purba FD, Busschbach JJV, Stolk E. Estimating an EQ-5D-Y-3L Value Set for Indonesia by Mapping the DCE onto TTO Values. PharmacoEconomics. 2022;40(S2):157-167. doi:10.1007/s40273-022-01210-1"
Y3L,Japan,Japan,JP,JP,10.1177/0272989X211001859,"Shiroiwa T, Ikeda S, Noto S, Fukuda T, Stolk E. Valuation Survey of EQ-5D-Y Based on the International Common Protocol: Development of a Value Set in Japan. Medical Decision Making. 2021;41(5):597-606. doi:10.1177/0272989X211001859"
Y3L,Netherlands,Netherlands,NL,NL,10.1007/s40273-022-01192-0,"Roudijk B, Sajjad A, Essers B, Lipman S, Stalmeier P, Finch AP. A Value Set for the EQ-5D-Y-3L in the Netherlands. PharmacoEconomics. 2022;40(S2):193-203. doi:10.1007/s40273-022-01192-0"
Y3L,Slovenia,Slovenia,SI,SI,10.1007/s40273-020-00994-4,"Prevolnik Rupel V, Ogorevc M. EQ-5D-Y Value Set for Slovenia. PharmacoEconomics. 2021;39(4):463-471. doi:10.1007/s40273-020-00994-4"
